Collection,Code,ProductVariation,ProductGroup,DesignVariation,Grade,Construction,Textures,Finishes,EdgeDetail,Species,Certification
PROJECT,PROJ029,Ryhill Wide Plank,Ryhill,Wide Plank  ,Nature  ,3Layer Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
PROJECT,PROJW006,Ryhill Extra Wide Plank,Ryhill,Extra Wide Plank ,Nature  ,3Layer Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak, UKTR Compliant
PROJECT,PROJBL009,Ryhill Narrow Herringbone,Ryhill,Narrow Herringbone  ,Nature  ,2Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
PROJECT,PROJN001,Petworth Wide Plank,Petworth,Plank  ,Nature  ,3Layer Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
PROJECT,PROJN002,Kennet Plank,Kennet,Plank  ,Nature  ,3Layer Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
PROJECT,PROJN003,Almond Plank,Almond,Plank  ,Nature  ,3Layer Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
PROJECT,PROJN004,Calico Plank,Calico,Plank  ,Nature  ,3Layer Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
PROJECT,PROJN005,Brindle Plank,Brindle,Plank  ,Nature  ,3Layer Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,FSC® 100%
CREATE,CR01BL,Sandbank Herringbone,Sandbank,Herringbone   ,Nature  ,3Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,70% PEFC Certified
CREATE,CR01CH,Sandbank Chevron,Sandbank,Chevron   ,Nature  ,3Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,70% PEFC Certified
CREATE,CR01PL,Sandbank Plank,Sandbank,Plank   ,Nature  ,3Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,70% PEFC Certified
CREATE,CR01SQ,Sandbank Square,Sandbank,Square   ,Nature  ,3Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,70% PEFC Certified
CREATE,CR03BL,Satchel Herringbone,Satchel,Herringbone   ,Nature  ,3Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,70% PEFC Certified
CREATE,CR03PL,Satchel Plank,Satchel,Plank   ,Nature  ,3Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,70% PEFC Certified
CREATE,CR03SQ,Satchel Square,Satchel,Square   ,Nature  ,3Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,70% PEFC Certified
CREATE,CR05BL,Liquorice Herringbone,Liquorice,Herringbone   ,Nature  ,3Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,70% PEFC Certified
CREATE,CR05PL,Liquorice Plank,Liquorice,Plank   ,Nature  ,3Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,70% PEFC Certified
CREATE,CR05SQ,Liquorice Square,Liquorice,Square   ,Nature  ,3Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,70% PEFC Certified
CREATE,CR06BL,Paperback Herringbone,Paperback,Herringbone   ,Nature  ,3Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,70% PEFC Certified
CREATE,CR06PL,Paperback Plank,Paperback,Plank   ,Nature  ,3Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,70% PEFC Certified
CREATE,CR07BL,Cashmere Herringbone,Cashmere,Herringbone   ,Nature  ,3Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,70% PEFC Certified
CREATE,CR07CH,Cashmere Chevron,Cashmere,Chevron   ,Nature  ,3Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,70% PEFC Certified
CREATE,CR07PL,Cashmere Plank,Cashmere,Plank   ,Nature  ,3Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,70% PEFC Certified
CREATE,CR07SQ,Cashmere Square,Cashmere,Square   ,Nature  ,3Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,70% PEFC Certified
CREATE,CR11BL,Jute Herringbone,Jute,Herringbone   ,Nature  ,3Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,70% PEFC Certified
CREATE,CR11CH,Jute Chevron,Jute,Chevron   ,Nature  ,3Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,70% PEFC Certified
CREATE,CR11PL,Jute Plank,Jute,Plank   ,Nature  ,3Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,70% PEFC Certified
CREATE,CR12BL,Fawn Herringbone,Fawn,Herringbone   ,Nature  ,3Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,70% PEFC Certified
CREATE,CR12CH,Fawn Chevron,Fawn,Chevron   ,Nature  ,3Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,70% PEFC Certified
CREATE,CR12PL,Fawn Plank,Fawn,Plank   ,Nature  ,3Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,70% PEFC Certified
CREATE,CR13BL,Stonewash Herringbone,Stonewash,Herringbone   ,Nature  ,3Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,70% PEFC Certified
CREATE,CR13CH,Stonewash Chevron,Stonewash,Chevron   ,Nature  ,3Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,70% PEFC Certified
CREATE,CR13PL,Stonewash Plank,Stonewash,Plank   ,Nature  ,3Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,70% PEFC Certified
CREATE,CR14BL,Smoke Herringbone,Smoke,Herringbone   ,Nature  ,3Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,70% PEFC Certified
CREATE,CR14CH,Smoke Chevron,Smoke,Chevron   ,Nature  ,3Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,70% PEFC Certified
CREATE,CR14PL,Smoke Plank,Smoke,Plank   ,Nature  ,3Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,70% PEFC Certified
CREATE,CR15BL,Cortado Herringbone,Cortado,Herringbone   ,Nature  ,3Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,70% PEFC Certified
CREATE,CR15CH,Cortado Chevron,Cortado,Chevron   ,Nature  ,3Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,70% PEFC Certified
CREATE,CR15PL,Cortado Plank,Cortado,Plank   ,Nature  ,3Ply Engineered,Brushed,Hardened Oil,Micro Bevel,European Oak,70% PEFC Certified
